NTMOD;NTMO;NTMD
102650102450;102650;102450
102650102530;102650;102530
102650102560;102650;102560
102650102630;102650;102630
102650102640;102650;102640
102650102650;102650;102650
102650102660;102650;102660
102650102670;102650;102670
102650102850;102650;102850
102650103180;102650;103180
102650147120;102650;147120
102650147250;102650;147250
102660102120;102660;102120
102660102340;102660;102340
102660102420;102660;102420
102660102610;102660;102610
102660102630;102660;102630
102660102650;102660;102650
102660102660;102660;102660
102660102670;102660;102670
102660102710;102660;102710
102660147120;102660;147120
102660147130;102660;147130
102660147160;102660;147160
102660147250;102660;147250
102670102180;102670;102180
102670102210;102670;102210
102670102350;102670;102350
102670102440;102670;102440
102670102450;102670;102450
102670102530;102670;102530
102670102560;102670;102560
102670102610;102670;102610
102670102620;102670;102620
102670102630;102670;102630
102670102640;102670;102640
102670102650;102670;102650
102670102660;102670;102660
102670102670;102670;102670
102670102730;102670;102730
102670147120;102670;147120
102670147140;102670;147140
102700102140;102700;102140
102700102730;102700;102730
102700147240;102700;147240
102710102120;102710;102120
102710102130;102710;102130
102710102140;102710;102140
102710102160;102710;102160
102710102170;102710;102170
102710102180;102710;102180
102710102210;102710;102210
102710102340;102710;102340
102710102350;102710;102350
102710102410;102710;102410
102710102420;102710;102420
102710102430;102710;102430
102710102440;102710;102440
102710102530;102710;102530
102710102540;102710;102540
102710102610;102710;102610
102710102630;102710;102630
102710102640;102710;102640
102710102660;102710;102660
102710102710;102710;102710
102710102720;102710;102720
102710102730;102710;102730
102710102740;102710;102740
102710102750;102710;102750
102710102760;102710;102760
102710102770;102710;102770
102710102810;102710;102810
102710102820;102710;102820
102710102840;102710;102840
102710102860;102710;102860
102710102870;102710;102870
102710103150;102710;103150
102710103180;102710;103180
102710103240;102710;103240
102710103290;102710;103290
102710147130;102710;147130
102710147150;102710;147150
102710147220;102710;147220
102710147250;102710;147250
102720102120;102720;102120
102720102160;102720;102160
102720102180;102720;102180
102720102210;102720;102210
102720102220;102720;102220
102720102230;102720;102230
102720102340;102720;102340
102720102350;102720;102350
102720102410;102720;102410
102720102420;102720;102420
102720102440;102720;102440
102720102450;102720;102450
102720102530;102720;102530
102720102540;102720;102540
102720102550;102720;102550
102720102640;102720;102640
102720102700;102720;102700
102720102710;102720;102710
102720102720;102720;102720
102720102730;102720;102730
102720102740;102720;102740
102720102750;102720;102750
102720102760;102720;102760
102720102770;102720;102770
102720102810;102720;102810
102720102820;102720;102820
102720102840;102720;102840
102720102850;102720;102850
102720102860;102720;102860
102720102870;102720;102870
102720103140;102720;103140
102720103180;102720;103180
102720103190;102720;103190
102720103220;102720;103220
102720147110;102720;147110
102720147120;102720;147120
102720147130;102720;147130
102720147140;102720;147140
102720147150;102720;147150
102720147160;102720;147160
102720147220;102720;147220
102720147230;102720;147230
102720147240;102720;147240
102720147250;102720;147250
102730102150;102730;102150
102730102170;102730;102170
102730102180;102730;102180
102730102230;102730;102230
102730102540;102730;102540
102730102670;102730;102670
102730102700;102730;102700
102730102710;102730;102710
102730102720;102730;102720
